round  client_num      data_used       loss            accuracy        
1      104.0000        3723.0000       1.2656          0.8099          
2      106.0000        3988.0000       0.7229          0.8636          
3      105.0000        4026.0000       0.5278          0.8736          
4      103.0000        3950.0000       0.4528          0.8731          
5      98.0000         3823.0000       0.4167          0.8745          
6      102.0000        3879.0000       0.3928          0.8826          
7      102.0000        3928.0000       0.3806          0.8807          
8      105.0000        4011.0000       0.3747          0.8833          
9      106.0000        3197.0000       0.3702          0.8864          
10     109.0000        3320.0000       0.3664          0.8880          
