round  client_num      data_used       loss            accuracy        
1      115.0000        1947.0000       2.0344          0.3298          
2      110.0000        2109.0000       1.7575          0.5339          
3      108.0000        2066.0000       1.5033          0.6823          
4      111.0000        2114.0000       1.2995          0.7289          
5      107.0000        1932.0000       1.1291          0.7642          
6      110.0000        1988.0000       0.9986          0.7824          
7      109.0000        2073.0000       0.8956          0.8014          
8      110.0000        1826.0000       0.8187          0.8026          
9      114.0000        2109.0000       0.7610          0.8118          
10     116.0000        1929.0000       0.7115          0.8203          
